asm_area_code,customer_code,Year,Month,unique_retailers,invoice_count
WESTM,2132,2012,2,49,55
PUNEN,743,2012,10,282,713
PUNJ,235,2012,8,197,541
BENGN,1854,2011,11,253,470
VIJA,47,2013,1,440,910
HYDE2,1130,2012,4,350,914
EASTU,2303,2012,12,232,364
PUNES,2588,2013,6,887,2372
HYDE2,1933,2013,2,772,1308
HUBL,731,2012,12,858,1732
PUNES,2243,2013,11,2364,6868
WESTM,1470,2011,4,152,328
PUNES,1122,2011,6,183,261
DELHM,1980,2013,10,1410,3160
PUNEN,1347,2012,1,106,116
PUNEN,77,2013,12,1060,3097
BIHAE,1954,2013,8,172,637
PUNJ,2106,2012,9,689,1103
HYDE1,1021,2011,10,2114,4597
EASTM,2410,2012,11,147,222
BIHAE,624,2012,1,268,393
WESTU,306,2012,2,140,234
HYDE2,252,2012,6,131,170
ORIS,2718,2013,12,998,2609
NAGP,2177,2012,7,303,513
CHEN,2507,2013,12,428,960
VIJA,42,2011,12,199,512
HYDE1,188,2012,9,63,180
NAGP,2024,2013,5,333,891
GUJAS,135,2013,8,343,748
EASTM,75,2011,6,138,298
ORIS,11,2012,3,243,706
PUNES,81,2013,1,498,1192
WESTU,2190,2013,10,133,280
BENGN,802,2013,5,293,962
ORIS,13,2013,6,161,594
BENGS,1284,2012,4,264,966
COIM,337,2011,8,1760,2990
NER,217,2011,7,190,733
KERA,1206,2013,12,107,221
BIHAW,1365,2011,6,1239,2078
HYDE2,422,2013,1,424,995
GUJAS,2352,2013,8,123,503
BANG,2465,2013,11,650,1436
GUJAS,336,2011,5,118,235
GUJAN,2351,2012,10,186,244
GUJAN,2351,2013,4,321,799
GUJAN,1321,2013,12,576,1318
BENGN,1227,2012,5,267,735
WESTM,1055,2013,1,1361,2957
BENGS,481,2011,7,185,447
WESTM,264,2011,11,182,322
NER,1306,2011,12,654,2635
GUJAN,1985,2013,3,2,2
CENTU,280,2013,8,200,438
CHEN,440,2011,10,620,1178
BANG,2457,2013,4,183,330
EASTU,278,2011,11,25,100
ORIS,1730,2013,9,880,1180
ORIS,11,2011,8,236,751
WESTU,1293,2012,7,246,352
COIM,160,2013,8,258,698
HYDE2,473,2012,2,78,152
COIM,1038,2012,1,215,396
BENGS,2,2012,6,1059,2120
PUNEN,80,2011,6,67,126
DELHM,526,2012,11,1670,3471
VIJA,1674,2013,9,387,632
KOLK,1849,2013,3,1789,2513
HYDE2,473,2013,7,102,419
VIJA,1390,2011,10,119,204
RAJA,408,2013,2,974,2144
WESTU,173,2011,8,446,937
NAGP,95,2012,4,232,313
CENTU,1903,2011,6,489,1304
KOLK,1817,2011,5,2753,4379
RAJA,126,2012,2,583,1275
KOLK,1556,2011,8,213,1129
CENTU,2548,2013,4,284,486
BANG,2441,2013,5,274,340
WESTU,383,2012,3,321,741
BANG,1252,2013,2,71,72
MUMB2,456,2013,12,80,151
PUNEN,1201,2013,4,142,464
MUMB2,2244,2012,9,2683,9767
HARY&,2336,2012,10,158,289
WESTM,361,2012,4,264,747
VIJA,42,2012,6,187,477
EASTU,1042,2011,11,1046,1679
BENGN,656,2012,10,135,348
DELHM,2157,2012,8,10,10
HUBL,1022,2013,12,206,802
HYDE2,1381,2012,6,671,1877
BIHAE,533,2012,8,547,1415
WESTM,263,2013,4,180,548
WESTU,357,2013,6,434,1062
PUNJ,2106,2013,9,530,1114
JHAR,31,2013,10,298,1086
WESTU,775,2011,8,782,1295
VIJA,446,2012,11,112,207
WESTU,1437,2012,11,348,787
CHEN,315,2013,1,155,218
EASTM,2410,2013,3,153,277
VIJA,552,2011,8,153,253
KOLK,1912,2011,6,1039,1988
MUMB1,56,2011,10,1156,5925
BIHAW,535,2011,9,116,191
NER,217,2012,1,185,583
GUJAS,1779,2013,3,2445,4430
BIHAW,2687,2013,10,816,1640
DELHM,2253,2013,4,1985,4101
ORIS,1590,2013,1,160,473
GUJAN,1804,2011,4,977,2289
EASTM,74,2013,3,183,435
CENTU,2035,2013,10,162,390
ORIS,2793,2013,11,425,458
PUNES,1238,2011,6,363,882
EASTM,1822,2013,4,553,1678
MUMB2,296,2012,10,912,2149
BENGS,1284,2012,3,270,600
PUNEN,330,2012,11,91,188
BENGS,19,2011,6,150,448
BANG,2459,2013,8,445,893
BIHAW,469,2013,6,216,818
JHAR,345,2013,3,272,481
PUNES,1744,2012,2,207,400
JHAR,345,2011,12,305,761
BENGS,22,2012,3,600,1033
RAJA,122,2011,11,280,616
HYDE2,413,2012,6,232,1019
NER,1001,2013,2,174,471
HARY&,62,2012,7,211,411
BENGS,1401,2011,7,263,602
EASTM,2400,2012,10,48,48
GUJAS,997,2013,6,152,425
PUNEN,1023,2012,7,453,1058
EASTM,2400,2013,4,73,252
HYDE2,1726,2012,7,493,1256
GUJAN,131,2012,5,209,494
GUJAN,1715,2013,7,350,1199
HYDE1,602,2011,10,1045,1951
BIHAW,34,2012,1,361,518
BANG,1016,2013,11,1277,2240
GUJAS,607,2011,8,171,382
NAGP,99,2013,11,1871,5192
CHEN,106,2013,7,239,656
PUNEN,1189,2012,7,145,444
NER,1883,2011,6,143,208
COIM,556,2013,4,268,487
EASTM,1889,2013,2,217,461
NAGP,1062,2013,9,1062,2899
BANG,1146,2012,5,684,1381
EASTU,1044,2012,3,1,1
GUJAN,1715,2012,4,351,879
RAJA,120,2013,8,766,1496
ORIS,625,2011,8,196,298
KOLK,1912,2011,7,1143,2174
KOLK,1849,2011,4,1480,2262
CHEN,106,2011,6,305,456
CENTU,1139,2013,2,246,323
RAJA,113,2013,8,385,994
MUMB2,1878,2012,11,2051,6865
HYDE2,473,2013,3,82,383
GUJAS,135,2011,10,343,800
PUNEN,1845,2013,6,932,1807
BENGN,1854,2013,2,246,903
CENTU,279,2012,1,191,270
VIJA,1426,2012,1,831,1377
RAJA,1228,2013,4,236,618
VIJA,552,2013,2,155,374
BENGN,538,2011,11,292,508
MUMB2,456,2011,9,57,75
WESTU,168,2012,9,167,762
HYDE2,601,2012,11,160,287
BANG,344,2013,3,1532,3839
BENGN,1008,2011,12,167,445
HUBL,2127,2012,10,273,661
HARY&,1567,2011,8,328,1069
MUMB1,1243,2011,4,1098,4793
RAJA,115,2011,11,190,358
ORIS,12,2011,8,135,426
GUJAN,636,2011,5,873,2268
PUNEN,2319,2013,5,136,322
BENGN,620,2011,8,176,251
WESTU,2064,2013,4,137,386
ORIS,1359,2012,11,808,1664
EASTM,74,2013,9,187,639
NAGP,1036,2013,3,811,2463
EASTM,374,2012,8,685,1496
ORIS,1730,2012,8,981,1685
EASTM,2410,2012,12,150,375
HYDE2,1593,2011,7,90,269
CHEN,104,2013,10,239,534
HARY&,60,2013,5,294,855
KOLK,1832,2012,6,642,1351
WESTM,1098,2013,7,281,692
KOLK,1824,2013,1,2899,6363
HYDE2,869,2011,5,731,1266
KOLK,2462,2013,10,1017,2276
PUNEN,330,2012,1,96,243
EASTU,275,2012,12,265,548
JHAR,8,2012,4,893,3206
RAJA,1228,2013,7,223,469
ORIS,356,2013,2,202,418
NAGP,91,2011,4,47,97
HUBL,450,2012,12,433,1199
HARY&,64,2011,7,352,792
CHEN,1780,2011,11,842,1461
JHAR,8,2013,7,762,1852
PUNES,530,2012,8,837,1624
HYDE2,250,2013,11,147,529
ORIS,356,2012,6,184,408
PUNES,1608,2012,11,260,569
HUBL,1242,2012,3,406,798
VIJA,247,2012,8,112,218
PUNJ,958,2011,12,219,426
DELHM,1980,2011,9,609,2094
ORIS,1730,2011,10,894,1630
MUMB2,991,2012,4,1000,4000
HYDE2,1337,2013,3,114,210
CENTU,2004,2012,10,154,250
PUNES,2192,2012,8,150,215
VIJA,2144,2013,3,527,1278
MUMB2,482,2013,10,545,959
JHAR,360,2011,11,573,978
GUJAS,1779,2013,4,1727,4524
VIJA,1391,2013,11,164,545
PUNEN,448,2013,12,1120,3248
JHAR,459,2011,11,137,287
BANG,147,2013,11,2038,5064
RAJA,114,2012,10,1335,2760
WESTU,177,2011,5,48,84
JHAR,541,2011,9,109,261
PUNJ,232,2012,7,290,501
PUNJ,2106,2013,8,539,1063
GUJAN,1448,2011,12,652,2126
COIM,1249,2013,2,1046,1997
MUMB2,394,2012,1,3762,9956
WESTM,268,2011,11,318,580
PUNJ,619,2013,9,172,706
WESTM,990,2012,4,666,1618
EASTU,774,2011,4,162,774
BANG,2495,2013,4,82,113
BANG,2141,2012,12,1606,3179
HUBL,450,2013,3,396,1319
HYDE1,463,2013,2,92,317
DELHM,591,2013,11,1169,4082
WESTU,1027,2013,7,365,932
BANG,1526,2013,6,1496,3158
VIJA,1391,2013,5,167,503
JHAR,459,2011,5,69,138
PUNEN,1896,2011,7,643,1705
BENGS,481,2013,4,200,700
PUNJ,1989,2012,4,435,960
GUJAS,2304,2012,12,234,668
GUJAN,470,2012,3,725,1547
ORIS,1927,2012,1,183,524
WESTU,2103,2013,12,128,367
CHEN,2069,2011,12,512,848
HYDE2,251,2012,5,171,380
GUJAS,2352,2013,5,139,551
HUBL,41,2011,7,259,559
MUMB1,1536,2012,4,1702,8309
WESTM,1115,2012,10,27,163
WESTU,1713,2013,1,162,443
GUJAS,1920,2013,3,146,363
HUBL,2279,2013,3,187,341
PUNES,1579,2013,9,456,1016
GUJAN,470,2011,9,807,2000
CHEN,975,2011,5,1142,3444
CENTU,1222,2013,3,863,1092
JHAR,540,2012,10,121,273
BIHAW,535,2012,4,89,437
WESTU,357,2011,6,465,932
NER,1956,2013,11,116,123
BANG,2290,2013,1,409,1022
RAJA,1938,2012,10,184,304
HYDE2,1381,2012,2,792,2103
NAGP,1036,2011,6,884,2290
MUMB2,1317,2012,12,968,2602
ORIS,13,2012,11,157,361
BANG,2440,2013,4,251,520
HARY&,61,2012,5,242,613
BIHAE,1274,2013,2,103,417
EASTU,522,2013,4,1693,2893
BENGS,307,2012,6,812,1588
VIJA,622,2012,3,140,229
HYDE2,2308,2013,4,156,356
DELHM,185,2011,12,1468,3845
PUNEN,1826,2013,1,2472,6888
WESTU,729,2012,10,718,989
COIM,1170,2012,10,154,402
EASTM,593,2012,6,261,745
WESTU,1293,2012,1,260,529
HUBL,178,2013,5,283,814
HARY&,2536,2013,8,310,384
WESTM,1115,2012,4,31,302
GUJAN,131,2013,10,212,576
PUNES,1343,2013,1,589,1243
MUMB2,456,2013,11,75,99
HYDE2,254,2013,4,137,400
BANG,1146,2011,8,421,1105
JHAR,550,2013,12,130,453
PUNES,993,2013,12,161,668
VIJA,1530,2011,8,824,1725
PUNES,1102,2011,7,248,501
BIHAW,2307,2013,6,179,498
MUMB1,1677,2011,9,86,15803
JHAR,542,2013,12,3,3
CENTU,2612,2013,7,212,511
VIJA,43,2013,6,305,1546
PUNJ,302,2011,12,113,191
PUNES,1666,2012,1,517,967
CHEN,104,2013,1,215,564
BENGS,2406,2013,6,120,472
GUJAS,289,2011,10,220,670
BENGN,638,2013,5,157,592
NER,239,2013,8,141,585
PUNEN,1171,2013,6,153,537
BIHAE,1024,2013,2,337,822
PUNES,2324,2012,10,85,179
WESTU,2190,2012,7,164,348
PUNES,327,2011,4,131,300
WESTM,264,2011,12,235,685
NAGP,2323,2013,5,212,493
PUNEN,628,2011,7,860,2529
HYDE1,1282,2012,2,1236,2087
CHEN,108,2012,8,315,645
PUNEN,743,2012,7,282,886
HUBL,2012,2012,7,706,1589
HUBL,1431,2012,2,207,386
PUNES,1245,2011,10,146,423
BENGS,22,2011,10,599,1293
PUNEN,1322,2012,1,109,233
VIJA,372,2011,11,343,655
BIHAW,535,2011,5,175,354
HUBL,2315,2013,10,117,298
EASTU,278,2011,12,41,156
NAGP,86,2011,10,178,366
HARY&,59,2013,9,193,692
HUBL,731,2012,10,811,1616
WESTU,165,2012,7,455,1217
CENTU,2031,2013,4,144,244
RAJA,1806,2013,10,227,782
VIJA,1390,2011,5,115,145
BIHAW,1411,2013,1,142,267
BIHAE,533,2013,11,738,1721
BIHAE,803,2011,6,156,296
GUJAN,470,2011,12,882,2422
JHAR,1051,2012,5,348,1351
COIM,163,2013,8,502,1324
PUNES,327,2013,5,133,420
BENGS,1284,2011,8,266,699
PUNES,2588,2013,12,862,2530
BIHAW,29,2013,8,1200,2889
PUNJ,1683,2011,7,341,601
NER,1883,2013,5,152,254
PUNES,428,2011,10,1454,5014
JHAR,345,2012,11,271,571
VIJA,2343,2013,6,98,363
BENGN,620,2013,3,201,265
HUBL,2327,2012,11,68,103
GUJAS,1779,2011,9,1113,3308
WESTM,523,2012,9,1296,3072
JHAR,550,2013,10,126,488
COIM,1038,2011,6,221,478
EASTM,335,2011,5,160,309
NER,1886,2012,6,220,1189
BANG,144,2013,8,61,134
PUNES,1579,2013,11,593,1547
HARY&,1205,2013,2,183,567
PUNEN,79,2013,7,377,479
EASTU,278,2013,4,57,98
WESTU,2202,2012,6,87,144
WESTU,1915,2012,9,199,382
BIHAE,539,2012,5,449,927
GUJAS,747,2012,6,250,525
HUBL,2127,2013,3,186,298
ORIS,1359,2012,2,1062,2472
JHAR,395,2012,8,324,547
CENTU,2037,2012,7,113,173
NAGP,86,2013,12,169,614
VIJA,1089,2012,2,137,294
EASTU,1203,2012,12,1033,1586
BIHAW,1960,2012,3,102,174
VIJA,48,2013,8,126,251
PUNES,1072,2011,7,315,770
BENGS,18,2011,12,346,911
GUJAN,1268,2012,7,1372,3350
HYDE2,251,2012,12,171,578
COIM,163,2011,6,475,1017
CENTU,2204,2013,5,139,411
DELHM,1591,2013,1,4575,8913
HYDE2,1721,2013,6,238,790
BENGS,451,2013,6,191,495
WESTU,2066,2012,6,221,327
PUNJ,230,2011,10,75,150
WESTM,523,2012,7,1407,3643
BIHAW,1960,2012,2,97,207
HYDE2,363,2012,5,172,313
GUJAN,1574,2011,4,637,1805
WESTU,165,2013,9,422,1035
PUNEN,330,2012,12,105,321
CHEN,975,2012,4,2596,5103
PUNJ,233,2012,6,228,488
PUNEN,1347,2011,4,119,165
RAJA,408,2012,6,982,2164
BIHAE,1274,2012,12,103,183
VIJA,1094,2012,4,320,496
CENTU,1903,2012,9,456,758
PUNEN,1665,2013,3,1774,4670
CHEN,975,2013,6,2253,4048
PUNJ,419,2012,4,243,690
CHEN,1882,2013,12,232,652
EASTM,410,2011,5,458,675
VIJA,1987,2013,6,655,1578
HUBL,1844,2013,4,303,823
PUNES,1238,2013,4,308,786
EASTU,1042,2011,8,1084,1870
BIHAW,746,2013,10,345,941
HUBL,427,2012,8,233,598
JHAR,31,2012,7,301,530
COIM,285,2011,10,314,517
JHAR,1634,2012,5,506,1255
RAJA,125,2011,9,194,249
HYDE1,1892,2011,5,1030,2494
HUBL,2127,2013,2,262,759
CENTU,2032,2012,5,86,163
PUNEN,1199,2013,11,190,517
JHAR,798,2012,8,634,1424
JHAR,360,2013,8,641,1688
NAGP,96,2012,8,345,916
PUNES,2324,2013,9,86,377
WESTU,846,2013,2,251,443
EASTM,74,2011,7,154,483
HYDE2,843,2011,5,181,563
WESTU,165,2011,11,369,782
JHAR,360,2012,9,521,1161
HYDE1,876,2013,9,2500,7324
PUNJ,958,2012,10,210,260
BANG,148,2013,3,1429,2555
BIHAW,32,2013,4,214,429
PUNEN,1575,2012,6,138,271
JHAR,1051,2012,6,354,1075
GUJAN,1985,2012,4,1203,4225
GUJAN,2349,2013,8,185,437
BIHAW,2307,2012,11,113,251
HUBL,450,2012,2,412,1097
NAGP,90,2013,3,216,371
BENGN,1854,2013,4,243,890
HUBL,1621,2013,3,447,820
PUNES,292,2011,12,124,148
GUJAN,1804,2011,12,1376,3240
HUBL,427,2012,3,144,233
HYDE2,1933,2012,3,780,1543
HARY&,1743,2011,11,271,642
VIJA,359,2013,5,94,281
BANG,2442,2013,5,584,1001
HARY&,2336,2012,12,168,299
BIHAE,1676,2012,8,784,1739
BIHAW,32,2012,2,178,243
EASTM,261,2013,10,130,594
CHEN,108,2012,2,346,657
WESTM,1115,2011,11,20,210
WESTM,266,2013,11,208,901
CENTU,967,2012,12,828,1380
WESTM,2401,2012,12,94,148
WESTU,1713,2011,12,163,547
EASTM,2410,2013,1,153,393
GUJAN,137,2013,6,385,1222
PUNEN,1214,2012,7,761,2096
GUJAS,997,2013,2,134,317
KOLK,2070,2011,12,1,1
WESTM,1098,2013,10,281,813
BIHAE,533,2012,6,501,953
ORIS,11,2013,2,243,983
BIHAE,2544,2013,8,189,695
MUMB2,296,2011,8,849,2156
PUNJ,238,2013,12,206,471
PUNJ,1548,2013,7,661,1710
WESTM,262,2012,5,165,553
WESTU,1915,2012,7,217,428
HYDE2,1653,2013,7,474,811
RAJA,1456,2013,5,161,544
PUNJ,302,2012,12,145,237
GUJAS,399,2012,6,155,509
GUJAN,1302,2013,7,484,836
HYDE2,1447,2011,9,574,1079
WESTM,2357,2013,7,113,222
BIHAE,1676,2011,4,869,2560
BENGN,1227,2012,12,257,1365
HYDE2,1562,2011,6,141,269
CHEN,2273,2013,7,804,1698
DELHM,1980,2013,7,1253,2582
HYDE1,1176,2012,10,125,560
ORIS,1482,2013,1,504,1805
GUJAS,1449,2013,5,526,1829
MUMB2,1603,2011,11,1490,3712
KOLK,1849,2013,1,2089,3653
WESTU,166,2013,5,212,597
WESTM,523,2013,5,1230,5041
HUBL,1431,2011,6,207,415
PUNEN,332,2013,5,106,341
NER,239,2013,2,136,441
BENGN,1854,2011,9,257,619
GUJAS,1449,2012,11,478,1105
HYDE1,1021,2012,9,4533,8931
BIHAW,566,2011,11,180,424
NAGP,89,2011,12,159,398
BENGS,1401,2011,10,248,470
PUNEN,79,2012,1,250,344
HARY&,1743,2013,2,244,710
VIJA,455,2012,7,496,771
VIJA,1893,2012,1,88,271
CENTU,369,2012,5,410,827
WESTM,1186,2011,12,1231,3122
EASTM,410,2012,7,479,839
EASTU,1042,2012,9,2192,3202
HUBL,2496,2013,9,215,515
CENTU,645,2011,12,164,454
BANG,1016,2012,2,1572,3111
PUNEN,1171,2012,6,149,454
WESTU,1713,2012,4,162,417
WESTM,262,2013,7,168,617
EASTM,593,2012,8,262,741
NAGP,95,2012,3,267,459
EASTM,70,2011,11,490,1083
CENTU,2061,2013,8,205,334
KOLK,1817,2013,2,3224,7153
EASTU,278,2012,6,55,73
WESTM,990,2013,3,448,732
CENTU,967,2012,6,763,1415
HUBL,40,2011,10,284,496
PUNJ,302,2012,6,161,278
GUJAN,1101,2013,12,294,727
VIJA,2360,2013,8,97,149
GUJAN,137,2013,3,324,736
EASTU,275,2012,9,264,476
PUNES,1102,2011,5,247,378
GUJAS,1601,2013,10,2,2
MUMB2,394,2011,8,3572,8803
ORIS,1482,2013,9,504,1289
JHAR,957,2012,11,565,1074
NER,219,2012,4,18,25
NAGP,89,2012,8,196,514
MUMB2,394,2012,3,3146,7314
EASTM,2330,2013,2,157,256
KOLK,1439,2011,5,989,1766
ORIS,1566,2012,2,942,1672
ORIS,883,2011,5,523,918
BIHAW,1960,2012,5,102,188
EASTM,1877,2013,11,288,663
HUBL,976,2011,4,503,1339
PUNEN,1665,2011,7,1017,3226
WESTU,1713,2013,3,149,383
BIHAW,1833,2012,1,96,117
WESTU,2103,2012,11,61,193
DELHM,1316,2012,2,1152,2204
WESTU,1027,2013,6,354,854
PUNJ,1524,2013,12,668,1908
CHEN,104,2012,12,301,642
HYDE1,188,2012,1,59,195
JHAR,2342,2013,2,475,972
PUNJ,235,2011,12,184,497
KOLK,1556,2013,4,246,1058
PUNES,1102,2011,11,240,379
EASTM,73,2011,6,419,1013
BIHAW,1853,2011,5,180,412
PUNES,1343,2013,11,410,1247
BENGS,1295,2012,7,617,1492
BANG,1369,2013,12,874,1974
PUNEN,1214,2013,6,646,1269
HUBL,2127,2013,5,276,710
GUJAN,137,2013,2,336,875
GUJAS,399,2012,2,144,453
KERA,1039,2013,9,34,36
JHAR,957,2012,3,1097,2121
PUNEN,1171,2012,2,153,357
CENTU,369,2012,3,367,619
RAJA,1806,2011,6,187,379
COIM,1303,2012,8,359,1037
PUNJ,608,2011,7,493,908
HUBL,450,2013,1,438,1524
PUNEN,1023,2012,6,443,934
EASTM,70,2012,7,492,1055
PUNEN,1419,2011,8,90,176
PUNEN,326,2012,1,110,138
CENTU,1903,2012,11,378,618
VIJA,552,2012,4,150,366
BENGN,999,2011,9,170,614
BENGN,996,2011,4,649,1585
GUJAS,138,2013,11,1842,3863
BENGN,638,2011,10,109,343
PUNES,81,2013,7,380,814
JHAR,540,2012,6,115,321
WESTM,268,2011,7,319,713
BENGS,2420,2013,2,154,160
BENGN,1227,2013,8,265,562
MUMB2,299,2013,7,1393,4026
WESTU,2103,2013,7,119,272
NAGP,1062,2013,3,1067,3071
BIHAW,566,2011,12,193,468
RAJA,1939,2012,8,1183,2546
NER,1886,2012,2,223,1472
RAJA,2355,2013,6,114,205
WESTM,1470,2012,9,157,333
MUMB2,296,2013,7,748,1890
BENGS,23,2012,1,491,988
GUJAS,1476,2012,9,145,396
EASTU,1044,2013,6,182,491
DELHM,1980,2012,11,1284,2353
BENGN,24,2012,8,141,271
JHAR,798,2011,10,629,1484
GUJAS,1449,2012,12,556,1607
NER,221,2011,9,191,578
BIHAE,1274,2013,1,103,313
VIJA,228,2011,6,68,134
PUNJ,1548,2012,6,663,1640
CENTU,170,2011,9,266,523
PUNEN,79,2011,4,193,386
PUNEN,960,2013,7,202,405
VIJA,446,2012,10,114,225
KOLK,1832,2012,11,596,1026
CENTU,369,2012,9,557,1037
GUJAS,1164,2013,3,1412,3467
GUJAN,2390,2012,10,8,10
CHEN,440,2011,11,501,880
WESTM,990,2013,6,747,2373
PUNEN,1896,2011,5,644,1514
MUMB2,2025,2012,4,314,1139
JHAR,540,2012,5,124,420
RAJA,120,2011,5,446,1115
HUBL,427,2011,10,226,351
BENGS,1950,2012,4,298,654
PUNJ,1548,2012,3,577,1069
VIJA,446,2013,3,87,162
RAJA,1523,2013,11,716,1759
CENTU,2036,2013,1,268,529
PUNJ,230,2013,4,96,154
HYDE2,1304,2013,9,465,891
EASTU,276,2011,5,216,496
BIHAE,539,2011,5,478,1025
BENGN,21,2011,11,171,300
HYDE1,1021,2012,5,4362,7554
VIJA,860,2011,8,68,152
MUMB1,2599,2013,9,2663,8102
BIHAW,1986,2012,5,1837,3162
COIM,1170,2012,6,173,367
EASTU,2463,2013,1,1895,2471
HARY&,1205,2011,11,142,274
CHEN,975,2013,2,2596,4263
VIJA,446,2013,2,117,265
HYDE1,1282,2012,1,1217,2654
GUJAN,1715,2011,5,305,970
GUJAN,2554,2013,6,6,6
BENGS,1357,2012,4,214,752
PUNJ,233,2013,4,256,558
RAJA,116,2013,9,650,1592
HYDE1,442,2012,3,68,144
NAGP,96,2011,10,344,998
MUMB2,1878,2013,4,1902,5758
WESTU,961,2012,6,1632,3085
PUNJ,1548,2012,11,704,1789
BIHAW,2307,2013,7,184,482
COIM,1223,2012,6,471,859
HARY&,1743,2012,1,313,601
HARY&,59,2013,3,192,625
WESTU,304,2013,9,125,353
BENGN,802,2013,10,260,778
RAJA,2341,2012,9,11,16
MUMB2,296,2012,11,865,2028
MUMB1,56,2012,1,1186,11168
WESTU,834,2011,5,108,239
RAJA,1523,2013,2,772,1842
COIM,862,2011,10,1274,2171
PUNEN,79,2013,12,431,941
NER,1886,2013,7,182,324
PUNEN,1189,2012,3,145,206
MUMB2,1317,2012,7,1111,2985
RAJA,408,2012,11,975,1807
BANG,147,2011,8,1432,3377
EASTU,282,2013,12,134,351
EASTM,72,2012,9,153,260
MUMB2,2025,2012,10,344,743
HUBL,178,2012,12,247,501
GUJAS,747,2012,2,278,502
WESTU,1713,2013,9,171,635
COIM,1249,2011,7,1010,1787
HARY&,1205,2011,5,130,266
RAJA,408,2012,2,931,2012
PUNEN,960,2012,11,202,352
WESTU,166,2013,9,229,634
JHAR,345,2012,10,289,701
GUJAS,449,2013,4,436,1018
BIHAE,539,2012,9,455,984
EASTM,70,2013,8,436,1012
RAJA,1523,2013,8,679,1602
PUNES,2317,2012,10,152,252
HUBL,450,2012,6,437,1124
PUNES,329,2013,8,95,516
HARY&,2333,2013,2,70,193
HARY&,1743,2011,12,339,842
PUNEN,331,2012,6,164,269
HYDE2,1721,2012,4,277,882
PUNEN,1845,2013,3,877,1634
VIJA,1390,2012,9,121,252
ORIS,2718,2013,11,965,3325
BENGS,5,2013,1,954,2920
NAGP,97,2012,10,869,1586
VIJA,1094,2013,3,328,774
NER,648,2012,12,333,575
HYDE2,1562,2012,9,180,472
BENGS,1295,2013,10,670,2363
PUNJ,238,2013,7,178,356
WESTU,2115,2012,5,1033,1576
BENGN,24,2013,7,144,392
VIJA,1893,2011,8,90,276
GUJAS,1164,2012,8,1470,3815
HYDE2,251,2011,6,95,177
NER,221,2012,8,213,1794
BENGS,1401,2013,5,275,803
GUJAS,449,2012,10,382,878
VIJA,1089,2012,11,137,333
HYDE2,250,2011,9,121,205
CHEN,1916,2011,5,113,167
WESTU,2155,2013,4,102,308
WESTU,165,2011,12,464,1165
HYDE2,1014,2011,10,141,436
GUJAS,1601,2011,8,163,436
WESTU,303,2012,5,208,585
JHAR,1051,2013,10,359,1213
PUNJ,233,2011,11,228,491
CENTU,2031,2012,10,55,67
RAJA,115,2013,11,236,397
EASTU,284,2012,10,170,296
NER,648,2011,7,458,903
PUNES,328,2011,9,113,298
BENGS,1257,2011,12,212,422
CHEN,315,2011,12,143,226
DELHM,2152,2013,8,1740,5014
NAGP,86,2011,6,158,305
PUNEN,330,2013,10,96,340
VIJA,341,2012,10,120,256
NER,390,2011,10,146,273
ORIS,2407,2012,10,20,21
VIJA,1893,2013,12,100,256
VIJA,247,2011,4,112,232
MUMB2,1489,2013,1,623,2024
EASTU,1044,2013,5,186,598
EASTM,1649,2012,7,281,647
PUNES,327,2012,3,81,96
VIJA,455,2011,5,462,644
HUBL,963,2012,8,271,1035
PUNJ,1210,2011,8,225,522
ORIS,2407,2013,10,164,613
BANG,1981,2012,5,831,1405
VIJA,1426,2011,8,631,1189
DELHM,1809,2011,5,534,1102
HYDE1,1891,2013,5,1998,4941
BENGS,23,2012,5,488,1026
EASTU,283,2011,7,172,381
WESTM,2630,2013,10,827,1671
HYDE1,463,2013,5,90,321
BIHAE,1948,2013,4,170,374
DELHM,1980,2013,5,1463,3409
NER,217,2013,11,133,383
NAGP,1090,2012,1,1390,2969
NER,1883,2011,7,138,217
HYDE1,188,2013,5,57,201
HUBL,731,2013,4,849,2085
BIHAW,32,2012,6,169,592
EASTM,335,2011,9,169,386
PUNJ,1524,2011,10,862,2141
CHEN,1882,2013,7,252,602
RAJA,1905,2012,7,224,386
WESTU,2074,2013,4,195,550
HYDE2,245,2011,7,233,408
WESTM,1470,2013,4,140,470
CENTU,2002,2012,8,188,381
PUNEN,330,2012,7,88,199
BANG,2508,2013,5,220,561
HYDE2,250,2012,4,129,473
NER,1306,2011,4,670,1985
PUNJ,1683,2011,9,229,426
CHEN,104,2011,4,301,581
PUNEN,1896,2013,11,595,1667
BIHAW,1872,2011,4,34,49
VIJA,1893,2013,10,98,230
BENGS,18,2012,7,346,882
KOLK,1824,2013,7,2736,5887
WESTU,1293,2011,9,245,465
EASTM,335,2013,2,174,480
EASTU,275,2012,3,251,450
COIM,1578,2012,1,261,489
CHEN,2069,2012,5,576,928
PUNJ,230,2011,6,54,86
RAJA,119,2012,3,176,389
NAGP,97,2011,11,547,847
RAJA,116,2013,10,665,1691
BANG,344,2013,9,1393,3383
CENTU,369,2013,10,421,828
HYDE2,252,2012,2,118,168
GUJAS,747,2013,9,274,1066
JHAR,550,2013,11,130,535
MUMB1,1243,2013,7,784,1544
GUJAS,1476,2011,8,131,429
PUNEN,331,2011,6,140,208
BIHAW,547,2013,2,158,687
ORIS,1927,2011,9,181,490
WESTU,357,2011,10,443,878
CENTU,1996,2012,5,119,318
ORIS,11,2012,12,243,885
