asm_area_code,customer_code,month,year,pri_ind_bpm_actuals,pri_sales_amount
NER,1899,8,2012,1265525.149,1323585.08
BENGS,2,11,2012,2295254.657,2575448.47
BIHAE,534,6,2011,2033175.687,2177417.42
HYDE2,255,10,2012,1067348.621,1146166.93
PUNES,1579,9,2012,1735294.647,1757750.79
HARY&,1205,2,2012,789581.1814,816331.96
BENGS,5,5,2012,4846489.111,5452406.94
EASTU,2303,10,2012,661448.5311,752163.94
JHAR,1819,7,2012,394516.5267,432302.42
EASTM,554,6,2012,1812667.981,1853627.35
WESTU,834,6,2012,1271389.966,1353640.9
BENGS,1543,5,2011,654818.6348,696075.86
MUMB1,1392,11,2011,31581547.22,32165623.43
GUJAS,1006,11,2011,2183537.469,2412641.31
GUJAS,449,5,2012,2254272.491,2253347.25
EASTU,281,5,2011,910923.6627,1051335.49
PUNEN,326,1,2012,587414.2945,596780.27
HYDE2,473,2,2012,3413203.684,3153516.28
CHEN,375,6,2012,4157346.507,4655214.18
DELHM,1591,7,2011,12192261.11,14032300.99
RAJA,120,6,2012,5559545.344,5780521.46
CENTU,279,2,2011,0,516956.82
NAGP,98,6,2012,6009971.12,5716714.42
WESTU,1936,3,2012,178427.3296,192313.26
DELHM,526,12,2011,8942138.968,9098569.83
PUNJ,238,2,2011,0,392558.76
PUNEN,2338,10,2012,375732.5722,398021.69
JHAR,345,12,2011,1921800.821,1845413.01
CHEN,315,3,2012,389699.7809,399336.96
ORIS,1436,2,2011,0,1936252.69
PUNEN,331,5,2012,494411.9288,475557.56
PUNEN,1419,11,2011,784552.5435,794537.74
HARY&,61,7,2011,1290607.412,1450049.42
PUNEN,1690,5,2011,4678064.164,5272415.45
NER,1682,8,2011,449067.588,471419.76
HARY&,424,1,2012,5404575.56,5521965.89
MUMB1,1392,6,2012,31962729.68,31616440.18
EASTU,522,3,2011,0,1742917.4
MUMB1,1677,5,2011,16883305.59,19460777.11
VIJA,42,1,2011,0,1051739.96
VIJA,372,5,2011,3492731.927,3829853.46
VIJA,622,5,2012,1625944.392,1523321.69
GUJAN,1804,12,2011,8770654.701,8705901.77
BANG,434,6,2012,3633973.347,3626038.47
PUNEN,1214,10,2012,3384753.696,3479655.85
KOLK,1824,5,2012,9656942.603,10678512.26
VIJA,1530,4,2011,9616560.522,10789953.14
BENGN,538,6,2011,2401954.113,2433229.25
CENTU,325,4,2011,712244.2661,779741.91
CENTU,1139,4,2012,2034094.467,2128110.42
BENGS,768,2,2011,0,3375542.78
EASTM,71,6,2011,2651412.521,2924730.51
NER,384,4,2011,1720787.14,1883698
WESTU,1713,7,2012,401818.294,439813.22
VIJA,43,5,2012,1804375.769,1745070.02
NAGP,86,12,2012,1232832.206,1221746.59
COIM,556,3,2011,0,594717.05
COIM,285,6,2011,1120084.11,1231069.9
VIJA,43,10,2012,2076052.386,2195344.06
JHAR,8,5,2013,5957848.065,6628167.15
JHAR,1634,11,2013,3755800.739,4202077.95
MUMB2,2479,4,2013,35734978.73,38107991.15
NAGP,1090,3,2013,4074265.666,4880506.65
PUNEN,331,7,2012,560249.3102,541571.32
BIHAE,536,8,2012,2064222.199,2232813.12
HYDE1,188,3,2013,4912602.327,5657599.33
WESTU,357,9,2012,2746987.215,3005143.89
HUBL,2318,4,2013,1549389.722,1741209.87
HARY&,1205,7,2012,642798.843,703005.46
GUJAS,2721,11,2013,2350978.356,2840065.76
NER,221,9,2012,4297118.187,4274608.28
BIHAW,535,9,2012,8934921.79,9301972.33
NAGP,86,2,2013,1248136.525,1276309.18
NER,1855,7,2013,6037357.129,6990853.01
JHAR,395,10,2013,1269685.534,1470313.56
MUMB2,300,3,2013,3606610.579,4065601.09
PUNES,2504,3,2013,742254.5394,858044.58
MUMB2,1025,6,2013,556617.1098,637149.88
HYDE2,252,10,2013,1121384.115,1406945.1
HUBL,450,9,2013,3237814.522,3623081.26
GUJAS,607,4,2013,2122769.466,2292496.3
HYDE2,257,6,2013,2229792.258,2578655.17
HUBL,2127,4,2013,2206892.395,2438943.24
WESTU,2190,4,2013,642778.7167,693748.22
VIJA,45,11,2013,1976876.804,2673662.83
CHEN,105,5,2013,348182.0525,391538.06
NER,1306,6,2013,1903536.289,2212690.57
CENTU,325,5,2013,579784.7982,663175.04
NER,215,8,2013,465145.3521,445183.72
MUMB2,294,6,2013,3080010.67,3412816.98
BENGN,537,6,2013,1084736.958,1292207.91
NAGP,2177,12,2013,2315965.764,2772578.8
MUMB1,1392,8,2013,20624575.4,21276063.98
HUBL,180,9,2013,5466230.026,6326460.85
MUMB2,456,10,2013,195178.0176,259498.9
VIJA,372,8,2013,2794390.1,3334553.62
ORIS,748,12,2013,1103524.807,1244131.62
HYDE2,2340,1,2013,1378227.898,1493061.45
VIJA,552,5,2011,1088090.643,1234999.8
EASTM,593,6,2012,4115394.893,4213090.64
WESTU,303,1,2013,1607532.609,1759089.58
HYDE2,257,2,2012,2093228.824,1933688.64
PUNJ,232,10,2012,482663.7146,537379.11
PUNEN,1213,10,2011,2006490.994,2130223.24
BIHAW,1365,4,2011,7155171.092,8007405.83
NER,2120,3,2012,203974.3188,198155.12
PUNES,83,1,2011,0,2526115.6
PUNJ,619,10,2012,498335.0532,550852.58
CENTU,369,7,2012,3804727.182,4151914.28
GUJAN,139,7,2011,1656811.108,1850173.94
WESTM,1115,2,2011,0,3365682.31
EASTU,1203,1,2013,5577526.958,6154669.08
HYDE2,251,2,2011,0,1450391.86
HARY&,60,5,2011,1217208.605,1397938.19
HARY&,65,12,2013,2466054.203,2636853.36
CHEN,375,12,2013,4284685.256,4897767.4
HYDE2,413,12,2013,1242158.294,1589893.64
NAGP,1062,12,2013,4865319.543,6397176.17
PUNJ,233,2,2011,0,1356272.57
WESTU,961,12,2011,11407120.93,11522756.86
GUJAS,997,5,2012,660093.6569,674378.29
CHEN,1780,4,2012,10429056.96,10471871.15
EASTU,281,12,2011,1428972.553,1469154.44
PUNEN,1690,10,2011,5555867.508,5787188.25
VIJA,1000,9,2011,5867114.612,6481506.69
RAJA,114,10,2011,5633023.013,5865227.98
CENTU,433,5,2012,7634420.791,8420563.82
PUNES,291,5,2011,586417.3877,665682.2
BENGN,2372,11,2012,435684.327,509849.98
BENGN,999,11,2012,532045.6413,602907.23
RAJA,1455,9,2012,5862751.747,6082033.46
DELHM,591,2,2012,6129438.065,6509990.05
PUNEN,628,2,2011,0,3776246.71
WESTU,1293,11,2011,1830797.279,1994428.8
JHAR,798,6,2011,4049345.703,4437654.53
MUMB2,991,2,2011,0,9456858.78
GUJAS,1779,12,2011,7882592.915,7895789.94
ORIS,12,8,2011,831697.2725,983271.85
EASTU,2068,10,2012,415825.6882,461717.41
ORIS,9,12,2012,1690582.054,1748328.35
MUMB2,299,1,2011,0,7527982.84
HARY&,1738,6,2011,652207.0249,732729.71
NER,287,8,2011,17351.64277,14640
JHAR,1852,3,2011,0,894319.61
KERA,1353,6,2011,1758142.464,2000252.63
NAGP,97,8,2011,3120946.753,3542816.72
ORIS,356,7,2011,1530797.448,1757591.96
HARY&,59,4,2011,1014527.48,1122024.28
PUNEN,1347,11,2011,1134637.232,1144423.21
CENTU,645,12,2011,1450876.679,1488966.73
COIM,337,11,2011,9280510.946,9132244.29
BENGS,307,8,2011,3895786.663,4266423.79
MUMB2,1603,7,2011,9359940.64,10362146.27
KERA,879,9,2011,1003487.961,1152315.9
COIM,1193,2,2013,2870067.858,3024999.25
PUNEN,1213,7,2012,272879.4046,320764.74
HARY&,61,7,2012,1143859.033,1252276.48
BENGS,1401,12,2013,761790.8812,866517.17
CHEN,106,9,2012,693131.6964,732454.46
KERA,597,7,2012,1350714.253,1415948.8
HARY&,2422,2,2013,345405.242,401849.28
HYDE2,1562,2,2013,1582153.403,1715899.56
DELHM,1316,11,2013,9420733.01,10621586.82
GUJAN,137,6,2013,2013220.643,2348224.81
HARY&,1743,7,2012,1151348.562,1300279.12
MUMB2,1489,4,2013,4613890.593,4820587.24
HUBL,2279,10,2013,962147.2068,1188538.82
PUNES,1666,5,2013,3771791.897,3858819.4
KERA,421,4,2013,2775695.157,3076143.39
HYDE2,1077,5,2013,1647625.048,1830469.91
BENGS,2406,4,2013,502853.1595,548951.94
WESTM,2401,4,2013,952056.4544,1054166.25
WESTU,304,2,2013,1563501.102,1740549.78
BENGS,1284,11,2013,1357168.906,1615629.25
RAJA,1455,5,2013,3839151.713,4480564.77
NAGP,2024,10,2013,1204675.837,1434047.16
WESTU,834,4,2011,1734333.873,1867600.71
EASTU,774,10,2011,907150.5339,980484.72
NAGP,764,1,2011,0,646298.39
PUNES,329,6,2012,447586.832,444092.02
HYDE2,1381,10,2011,3129721.742,3195017.37
COIM,1578,3,2013,692368.1864,800493.07
EASTM,74,4,2013,1607908.225,1659364.15
HARY&,334,7,2012,447457.3147,493394.95
EASTU,774,8,2012,1830341.752,1963380.82
VIJA,228,9,2012,675540.8784,725226.04
HYDE1,876,8,2012,12831352.43,13294064.9
CHEN,2069,8,2012,3516620.421,3668206.48
GUJAS,1476,10,2013,2278916.497,2701666.26
BENGN,999,7,2012,595922.2788,638403.18
GUJAS,1920,2,2013,880964.7648,972043.74
COIM,1249,11,2013,1941919.134,2269775.48
PUNES,328,2,2013,1300095.786,1348346.82
NAGP,86,3,2013,1002604.145,1101948.83
GUJAS,1779,4,2013,7501237.496,8292477.96
HARY&,2334,6,2013,294993.5196,362483.54
HYDE2,252,4,2013,1919017.151,2109093.74
NER,1196,6,2013,72019.42235,61775.71
WESTU,2074,7,2013,551117.2933,604830.55
EASTU,277,6,2013,777018.6759,914419.94
NAGP,97,6,2013,3280840.272,3864284.12
HYDE2,1422,9,2013,1149998.258,1351878.11
VIJA,2313,9,2013,1012802.821,1175485.78
BIHAW,535,8,2013,5991705.719,6693922.25
MUMB2,456,12,2013,298743.5635,408591.06
DELHM,1980,12,2013,13923405.43,14609631.52
HYDE2,257,12,2013,2148443.35,2685160.57
GUJAS,2352,12,2013,1185352.743,1456770.2
EASTU,1044,11,2012,813464.4338,892338.42
BIHAW,746,11,2011,8368371.665,7001824.85
HYDE1,463,8,2011,1042550.362,1144002.81
DELHM,1809,11,2011,2237706.66,2460032.01
KERA,159,10,2012,1521561.535,1635118.78
VIJA,45,11,2012,1789665.415,1927293.94
HYDE2,250,12,2012,1212355.637,1279157.9
PUNEN,1199,4,2012,2793538.876,2658153.5
WESTU,306,10,2012,1229022.31,1352795.85
WESTU,2190,6,2012,600884.743,644544.46
BENGS,1295,8,2011,5049880.748,5415925.38
PUNEN,1213,9,2011,1079202.118,1197431.6
HYDE2,257,1,2012,2084913.638,1954416.36
HARY&,62,2,2012,916613.4284,948851.52
ORIS,1927,7,2011,979679.9725,1141544.01
NER,274,10,2011,966261.6564,1042760.24
PUNES,2321,11,2012,633230.5323,652513.32
HYDE2,413,11,2012,806139.9132,853472.08
HYDE2,1726,1,2013,3927208.605,4220506.09
BENGS,1558,1,2013,2302805.671,2494619.91
PUNES,83,11,2012,1166745.097,1162643.88
PUNEN,331,11,2012,464847.2626,469215.46
KOLK,2075,5,2012,3138467.317,3554857.06
CENTU,2034,2,2012,386921.0362,430422.17
DELHM,1481,2,2011,0,3845086.92
BENGS,1401,2,2011,0,717405.45
CENTU,967,10,2012,3560525.58,3897306.2
BIHAW,34,10,2012,817888.7746,884730.2
HARY&,1743,6,2011,1569579.257,1747266.58
WESTM,990,12,2012,4028179.219,4297170.3
NAGP,90,2,2012,1636738.893,1526229.44
BENGN,21,7,2011,405720.3192,459621.09
NAGP,87,2,2011,0,1642612.71
PUNJ,236,6,2012,1212779.781,1306034.8
COIM,160,11,2011,1339300.931,1343774.3
CENTU,1996,12,2012,789762.8806,839107.62
WESTU,168,2,2012,1089272.12,1085976.16
CENTU,170,8,2011,1759436.93,2064419.86
DELHM,526,9,2011,7784437.671,8465314.31
KERA,1206,2,2011,0,610992.92
WESTU,2027,5,2012,1055710.919,1164914.28
WESTM,266,5,2012,1475800.506,1643502.46
EASTU,275,4,2011,1802356.283,1952566.23
WESTM,1414,1,2011,0,2160387.07
PUNEN,77,2,2012,7526842.035,7310823.54
PUNEN,1200,5,2012,1424788.497,1362028.42
BANG,1526,4,2012,13551664.56,13851545.29
HUBL,40,1,2011,0,2131405.23
COIM,862,1,2011,0,7894411.65
BENGS,1091,5,2011,2528137.264,2727348.17
EASTU,282,10,2011,534468.4567,577925.47
DELHM,1174,10,2011,6358648.982,7019009.98
MUMB2,1025,2,2012,633613.8957,671049.5
BENGS,1284,1,2011,0,1217812.41
GUJAS,1920,6,2011,1189887.418,1357048.27
JHAR,1634,4,2012,5353443.983,5591627.68
KERA,1148,4,2011,1195261.219,1371809.72
KERA,1345,4,2012,856536.9648,927887.22
PUNES,1608,6,2011,3397805.936,3764634.28
HYDE1,442,9,2011,1849699.784,2045076.19
GUJAN,636,7,2011,2575285.085,2841258.49
HUBL,41,2,2011,0,1987488.06
KERA,158,9,2012,4091203.362,4540953.65
HYDE2,255,3,2012,563966.0214,530757.53
PUNEN,1665,6,2011,5419911.297,5950456.5
KOLK,1849,5,2013,4156428.084,4884274.99
RAJA,2586,6,2013,1641756.389,1857501.12
HYDE1,1891,2,2013,13694836.12,14828838.41
ORIS,13,3,2013,450938.4131,515314.2
NAGP,93,8,2012,3378195.346,3307448.06
HYDE2,363,2,2013,1265211.838,1362408.92
ORIS,11,3,2013,552347.9426,642102.5
NAGP,1090,2,2013,6675889.714,7169164.51
MUMB2,379,3,2013,2367629.358,2742063.58
BIHAE,534,5,2013,2594068.099,2828377.22
RAJA,1523,10,2013,3231555.693,3747998.83
CHEN,104,10,2013,694210.323,807829.68
BIHAW,746,4,2013,8005472.758,8127103.57
PUNEN,1351,3,2013,905462.5343,1006677.31
KERA,586,3,2013,1564296.662,1784627.35
EASTU,1203,5,2013,4007550.974,4698900.43
WESTM,1470,6,2013,2256498.986,2624250.54
MUMB1,2511,10,2013,9140038.194,11107609.23
GUJAS,399,7,2013,1045747.852,1258237.76
HARY&,68,8,2013,1244893.374,1315756.14
ORIS,11,10,2013,772260.4368,871792.3
PUNJ,2106,9,2013,3005798.927,3417550.83
CENTU,2548,8,2013,2395552.929,2515269.6
VIJA,1674,12,2013,1616066.331,2026419.43
EASTM,410,11,2012,1640396.089,1760210.9
HYDE2,1304,1,2013,3546149.758,3813527.35
HYDE2,187,6,2012,2137120.692,2193915.55
WESTM,1470,10,2011,1794140.52,2003605.3
GUJAS,1449,11,2011,2587250.234,2748163.76
WESTU,1936,10,2011,434125.107,475253.84
BIHAE,1413,4,2011,1390494.566,1500454.65
RAJA,114,1,2013,4606019.714,4962150.48
CENTU,2036,9,2011,305974.4379,344262.31
CENTU,170,4,2012,3581190.724,3801852.37
MUMB2,1878,2,2012,14653888.25,14398933.7
BIHAW,1853,2,2012,1488733.551,1410106.16
PUNEN,1826,12,2011,18306884.65,17903732.21
PUNJ,608,9,2012,8747014.789,9036326.37
JHAR,1766,12,2011,6621525.256,6618253.47
ORIS,475,1,2013,1130543.72,1239488.43
GUJAS,747,3,2012,1138692.26,1187782.74
BANG,147,4,2012,11632911.41,11878819.84
HUBL,2327,12,2012,985685.2624,1041311.36
PUNES,329,1,2012,351639.6041,346396.11
BANG,1016,2,2012,6243081.979,6141075.9
HARY&,65,4,2011,2263117.315,2410463.14
PUNJ,237,2,2011,0,598752.71
KERA,158,10,2011,4408137.462,4730732.87
KERA,155,6,2011,763762.4627,891934.53
HYDE2,1056,12,2011,1432440.5,1362204.63
BENGS,1558,7,2011,1228312.471,1378847.32
NAGP,92,7,2011,435024.887,490672.98
WESTU,2027,10,2012,599738.1174,635285.16
CHEN,1594,4,2012,2403246.562,2459101.12
BENGS,5,3,2012,1980711.922,2085013
WESTU,168,7,2012,1476995.681,1615486.62
PUNEN,1419,7,2011,250126.2832,285970.5
HYDE1,876,6,2011,15851042.85,17453697.88
ORIS,2407,10,2012,524719.5843,601859.4
WESTM,266,10,2012,881445.4495,943265.52
HARY&,1743,8,2011,1463916.019,1621742.54
DELHM,183,9,2011,17187950.09,18804486.64
PUNEN,1189,6,2011,2345067.749,2727668.27
PUNES,83,3,2012,2566466.524,2339974.94
CENTU,2034,7,2012,545826.4481,598441.18
KERA,158,6,2011,5391574.289,6313074.65
NAGP,93,12,2011,5296212.344,5274860.78
COIM,1170,5,2011,556419.5266,628886.94
PUNES,993,12,2011,1681015.834,1657171.99
GUJAN,139,6,2011,2953273.005,3243596.48
EASTM,267,5,2012,1454434.546,1555200.03
BANG,144,7,2011,4636521.838,4993510.02
BIHAE,539,8,2011,3795023.135,4149689.16
BENGS,481,9,2011,1628212.498,1774106.77
WESTU,165,5,2012,3389826.134,3750749.43
HYDE2,1721,4,2011,3582045.52,3722072.76
RAJA,1523,4,2011,6770490.518,7350794.38
EASTU,1042,9,2011,11641786.03,13077535.91
PUNES,329,2,2013,418627.6601,440382.17
PUNES,1072,9,2012,1660981.999,1695700.31
NER,1840,7,2013,435427.9407,506131.06
HYDE2,1721,7,2013,1205316.912,1379441.83
GUJAS,1779,8,2012,4881171.777,4963183.55
COIM,1223,11,2013,1052265.28,1329369.9
KERA,596,7,2012,817424.2525,887955.88
DELHM,1174,9,2012,14904068.76,15372684.63
CENTU,2036,2,2013,591895.7974,661575.63
BIHAE,1297,7,2013,1460165.537,1674933.67
PUNEN,1690,7,2013,3347829.754,3756640
BANG,2562,12,2013,7285731.325,8832813.13
COIM,1249,8,2013,2231235.455,2548078.73
CHEN,105,11,2013,296240.6851,347541.5
HYDE2,1593,5,2013,768762.2936,825117.36
GUJAS,747,4,2013,2292438.132,2594628.46
GUJAS,1476,6,2013,4641270.186,5160187.85
NAGP,764,7,2013,745254.0659,861392.8
EASTU,2068,7,2013,745398.2261,838140.48
EASTM,2329,7,2013,839243.5742,949935.68
VIJA,1391,8,2013,1322295.445,1528298.18
BANG,2465,9,2013,1399555.744,1662246.76
PUNEN,1351,10,2013,720027.3822,883279.88
PUNEN,1896,12,2013,5469440.439,6394602.52
NAGP,93,4,2012,5105903.515,5021108.78
GUJAN,133,7,2011,1022499.006,1159433.56
CENTU,2031,3,2012,210988.4779,220902.56
KERA,586,10,2012,1913590.423,2085925.99
NAGP,99,3,2012,7326088.329,7345982.54
JHAR,1634,11,2011,3608212.96,3844164.25
BENGS,1558,5,2012,1816111.16,2087319.06
NAGP,93,10,2012,3791028.477,3889287.29
HYDE2,1721,2,2011,0,2956624.28
HUBL,1430,4,2011,1672351.158,1809243.22
WESTU,2074,4,2012,1043066.634,1084414.79
BANG,2141,10,2012,4201792.675,4441950.31
ORIS,1566,4,2011,4278423.755,4818562.81
JHAR,360,3,2012,1906357.755,1904041.89
PUNEN,1322,6,2011,491777.1442,528317.02
KOLK,1824,5,2013,10188299.17,11584310.38
HYDE2,1077,9,2012,1532932.254,1626487.98
MUMB1,1243,2,2013,7341894.537,7783159.01
BANG,2562,4,2013,6095269.56,6767559.36
BENGS,1543,11,2013,620333.68,668809.39
BIHAE,1219,8,2012,1779171.307,1873553.16
EASTM,2728,10,2013,279064.8283,319727.38
BANG,145,9,2012,7967440.398,8374652.73
ORIS,356,8,2012,2009142.416,2193322.72
COIM,556,2,2013,826897.48,903096.79
MUMB2,991,7,2012,6827428.178,7136696.08
ORIS,748,10,2013,904732.0792,1010387.92
BANG,2476,3,2013,681317.7027,776137.18
WESTU,846,8,2013,688431.2209,739242.43
BIHAE,539,7,2013,4231085.007,4883562.3
HUBL,1022,8,2013,1535169.09,1691048.29
CENTU,2036,9,2013,521093.5509,584696.14
CHEN,315,10,2013,500203.8042,613925.3
GUJAS,607,6,2013,1697301.993,1980899.09
BIHAE,1676,7,2013,4559920.739,5257360.14
WESTM,2401,9,2013,-617442.5659,-721004.1
PUNEN,332,8,2013,584349.9151,725876.38
DELHM,1980,9,2013,9105814.615,9716015.97
BIHAW,29,11,2013,5329997.938,5949023.38
BIHAW,34,12,2013,1823957.574,2057103.58
PUNJ,958,12,2013,787682.3109,853520.12
HARY&,59,11,2012,919080.3719,1020296.58
GUJAN,132,12,2011,1680757.267,1755679.67
BENGN,2373,11,2012,124943.7343,143825.08
CENTU,2061,9,2012,357525.2901,406268.62
NAGP,87,1,2011,0,1508544.76
HYDE2,245,7,2011,3644242.56,4035509.16
VIJA,1390,6,2011,1826962.691,2028879.28
HYDE2,1014,1,2013,1856146.596,1988630.02
PUNES,2321,12,2012,837739.5892,850236.84
JHAR,550,6,2011,1303168.169,1621930.43
GUJAN,1977,9,2011,972134.5722,1088769.25
GUJAN,137,7,2011,2288774.934,2654785.04
CENTU,170,1,2011,0,1317160.7
PUNES,1122,11,2011,775113.797,785036.34
BENGS,1284,8,2011,1313226.043,1448106.28
HYDE2,255,11,2011,1065237.835,1079026.19
BENGS,768,1,2013,3373073.325,3562403.28
PUNJ,1524,1,2013,5073546.64,5716638.48
PUNEN,1419,10,2012,1219468.798,1206337.68
JHAR,1766,8,2011,4292027.93,4866526.53
WESTM,268,3,2011,0,1512387.1
CENTU,2031,4,2012,672006.0713,737437.22
HUBL,1431,12,2011,2326045.783,2173344.95
GUJAS,1779,5,2012,5038296.205,5065507.8
PUNEN,1214,11,2011,3502257.642,3599078.43
NAGP,2024,8,2013,1616739.258,1892827.01
KERA,1207,6,2011,2935866.357,3492798.27
PUNJ,600,1,2012,3650277.9,3862252.43
PUNJ,1210,7,2011,1443344.241,1611793.78
EASTU,1044,3,2011,0,557431.98
HYDE1,188,9,2011,11024233.65,12133073.45
COIM,1170,7,2012,481679.95,508427.53
JHAR,31,7,2011,718536.8453,842095.38
NER,384,11,2011,1034958.742,1130354.17
VIJA,1094,7,2011,1581109.525,1775777.53
KERA,596,12,2012,1125149.893,1242137.24
HYDE2,1721,9,2011,2364698.259,2506546.76
NAGP,86,11,2012,953429.6151,932227.37
ORIS,883,11,2012,2319823.476,2673133.28
PUNES,1244,11,2012,694828.0216,700621.48
EASTM,1649,1,2013,2561987.058,2628512.58
PUNEN,2363,11,2012,511937.8858,515495.55
VIJA,860,11,2012,512485.9469,541255.43
RAJA,122,9,2011,3054286.741,3298247.62
HARY&,2333,8,2013,359676.6696,378823.5
GUJAN,1985,6,2012,3616780.555,3911089.93
KERA,1039,6,2011,2922877.463,3354899.28
GUJAS,1601,11,2011,1323839.163,1412444.33
GUJAS,135,12,2012,2614043.902,2725689.33
BENGN,25,3,2012,585071.6169,653213.4
VIJA,1020,10,2011,838144.6319,873786.15
CENTU,2032,10,2011,267943.0173,301333.8
GUJAN,139,2,2011,0,3703256.48
KOLK,1832,1,2011,0,2168265.93
DELHM,526,5,2012,4743965.996,5238542.89
KOLK,1832,4,2011,3989465.433,4360934.37
VIJA,47,4,2012,2825677.542,2838049.74
KOLK,2075,12,2012,3168442.905,3410954.51
NAGP,93,12,2012,2916736.107,2941706.35
NER,220,1,2012,1565243.596,1833900.21
HUBL,1844,8,2011,2417913.049,2569031.99
EASTM,267,2,2011,0,1778534.63
PUNES,1376,6,2011,493123.6046,556058.1
PUNJ,235,3,2012,638611.9199,656842.92
CHEN,315,2,2012,829607.9424,829882.92
KOLK,1818,3,2011,0,1164177.31
CHEN,2069,9,2012,2841275.164,3049566.15
VIJA,42,10,2011,1128558.33,1178120.63
JHAR,395,4,2011,2666994.787,2933331.19
NER,217,10,2012,3457882.81,3634452.78
VIJA,51,5,2011,1831203.219,2061201.14
WESTU,1713,3,2011,0,250610.96
CENTU,170,10,2011,1087324.772,1183674.94
PUNEN,1845,11,2011,3909552.985,4015585.05
RAJA,1938,12,2012,1566840.292,1669626.73
BENGN,620,1,2011,0,2057364.01
PUNEN,1349,6,2011,1088090.375,1223699.27
PUNJ,233,1,2012,1326475.313,1296577.9
PUNES,81,5,2011,4405752.253,4950230.6
GUJAS,997,2,2011,0,1191664.66
HARY&,1209,3,2011,0,622886.08
CENTU,1903,10,2012,2477836.475,2720080.66
KERA,421,4,2011,3136262.176,3622752.23
DELHM,591,7,2012,4797742.847,5244441.51
ORIS,356,1,2011,0,2852003.52
KOLK,1818,2,2012,2560307.592,2677205.23
BENGS,2326,9,2012,720002.2116,770208.41
HYDE2,1653,2,2012,2419352.427,2299848.87
EASTU,284,6,2012,815583.5462,836164.98
COIM,556,12,2011,897473.6649,904950.78
EASTU,1042,7,2012,5770577.481,6255559.56
BENGS,23,4,2011,2762975.86,2949937.33
GUJAS,1570,6,2012,3788468.39,3904937.05
BANG,1016,10,2011,5507315.262,5550518.2
GUJAS,747,5,2013,1094653.765,1310742.93
JHAR,798,11,2013,3901333.868,4420455.58
HYDE2,1447,11,2013,3336726.96,4179149.93
WESTU,306,7,2012,1325717.939,1454708.5
WESTU,1713,3,2013,486861.2686,560398.7
HYDE2,252,3,2013,1098609.415,1274587.22
MUMB1,56,7,2012,9934577.747,10252656.1
PUNES,1666,6,2013,3280634.679,3625271.58
PUNES,2324,6,2013,822194.4726,948452.16
RAJA,121,5,2013,912578.4298,1014467.25
PUNJ,1989,7,2013,1998272.748,2241680.31
KERA,1194,6,2013,1349518.281,1550197.03
BANG,1016,10,2013,2937577.773,3368747.87
WESTU,168,9,2013,2519541.341,2692786.71
BENGS,1357,8,2013,1003389.619,1151910.42
WESTU,1936,9,2013,1181770.911,1270544.42
PUNEN,1826,9,2013,18593528.9,21223682.33
PUNEN,1826,12,2013,17864890.62,21232336.24
DELHM,2250,12,2013,0,0
MUMB2,296,11,2013,3800989.473,4395686.86
HYDE1,2282,1,2013,7574258.561,8229560.05
RAJA,120,1,2013,3234042.392,3550395.37
BENGN,999,6,2011,771744.3881,838445.56
BIHAW,1872,6,2011,961810.6103,1093449.13
KERA,1384,10,2012,1070138.296,1140333.34
BENGS,481,6,2011,4661866.152,4641065.47
CHEN,375,1,2013,4157608.438,4735699.38
PUNJ,1147,10,2012,576181.2974,625157.87
MUMB2,296,7,2011,2666237.317,3035634.38
ORIS,625,5,2011,1799879.328,2029365.12
PUNJ,1190,1,2011,0,4607977.97
PUNES,83,11,2011,1999029.219,2010432.43
VIJA,50,8,2011,999698.3526,1087805.59
NER,1374,11,2011,192118.4196,202337.25
KERA,154,6,2011,981142.8651,1125948.02
RAJA,408,12,2012,14247267.67,15046911.04
ORIS,356,8,2011,1728663.609,2017901.51
VIJA,1391,12,2011,2099582.695,2026557.31
JHAR,542,5,2012,537196.8051,611471.98
GUJAS,997,7,2011,560792.5188,620307.88
MUMB1,1677,11,2012,8761107.149,8975422.08
ORIS,1730,6,2012,4188683.802,4384652.89
KERA,158,1,2013,4481272.537,4931739.34
WESTU,166,11,2011,576137.2705,617813.01
NER,390,3,2011,0,2023434.71
RAJA,119,1,2011,0,1557926.66
DELHM,1481,2,2012,5904328.689,6327190.51
HARY&,1209,9,2011,2345257.707,2628673.77
PUNES,328,1,2011,0,1210248.12
NER,390,1,2013,2385638.026,2070585.79
PUNEN,960,11,2012,664708.5769,661080.42
VIJA,228,8,2011,871774.9927,978693.73
HARY&,1534,11,2011,5015122.678,5457447.52
KOLK,1699,1,2011,0,3316643.06
BENGS,768,1,2012,3176842.572,3324335.85
WESTU,165,4,2011,5018098.777,5368050.67
BENGN,638,1,2011,0,815315.85
HARY&,62,5,2011,685950.6053,792069.67
KERA,1345,5,2011,1094237.333,1204182.53
COIM,1303,5,2012,1344071.877,1362137.29
GUJAN,132,2,2011,0,1530157.09
GUJAN,1302,6,2011,3591487.481,3771110.95
GUJAS,1570,9,2011,3351646.592,3600130
NER,390,12,2011,5909975.521,5268260.11
GUJAN,139,3,2011,0,2042574.26
BIHAW,469,1,2012,1626144.334,1487170.92
PUNEN,1199,11,2011,1183264.152,1217797.19
EASTM,267,1,2011,0,1635721.94
PUNJ,238,1,2011,0,680420.22
NER,1682,4,2011,453419.8544,473409.28
NER,1374,3,2011,0,285306.24
NER,1883,6,2011,1909583.17,2207372.76
